================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
  301 Gurugram (Vikas Sadan)     no2    fold_2                           D+2       7.66    0.165
  301 Gurugram (Vikas Sadan)     no2    fold_2                           D+3       8.81   -0.104
  301 Gurugram (Vikas Sadan)     no2    fold_3                           D+2       1.62   -5.077
  301 Gurugram (Vikas Sadan)     no2    fold_3                           D+3       1.77   -6.332
  301 Gurugram (Vikas Sadan)     no2    holdout_120d                     D+2       6.16   -0.920
  301 Gurugram (Vikas Sadan)     no2    holdout_120d                     D+3       6.52   -1.438
  301 Gurugram (Vikas Sadan)     o3     fold_1_stubble_oct_nov_2025      D+2       9.21    0.463
  301 Gurugram (Vikas Sadan)     o3     fold_1_stubble_oct_nov_2025      D+3      10.01    0.338
  301 Gurugram (Vikas Sadan)     o3     fold_2                           D+2       9.73    0.244
  301 Gurugram (Vikas Sadan)     o3     fold_2                           D+3      11.00    0.034
  301 Gurugram (Vikas Sadan)     o3     fold_3                           D+2       5.42   -4.921
  301 Gurugram (Vikas Sadan)     o3     fold_3                           D+3       5.47   -5.029
  301 Gurugram (Vikas Sadan)     o3     holdout_120d                     D+2       8.31   -0.005
  301 Gurugram (Vikas Sadan)     o3     holdout_120d                     D+3      10.15   -0.480
  301 Gurugram (Vikas Sadan)     so2    fold_1_stubble_oct_nov_2025      D+2       1.41   -0.654
  301 Gurugram (Vikas Sadan)     so2    fold_1_stubble_oct_nov_2025      D+3       1.56   -1.043
  301 Gurugram (Vikas Sadan)     so2    fold_2                           D+2       1.41   -1.335
  301 Gurugram (Vikas Sadan)     so2    fold_2                           D+3       1.58   -1.907
  301 Gurugram (Vikas Sadan)     so2    fold_3                           D+2       1.38  -70.129
  301 Gurugram (Vikas Sadan)     so2    fold_3                           D+3       1.46  -79.357
  301 Gurugram (Vikas Sadan)     so2    holdout_120d                     D+2      45.22   -0.818
  301 Gurugram (Vikas Sadan)     so2    holdout_120d                     D+3      47.11   -0.949
   50 Punjabi Bagh               pm25   fold_3                           D+2      29.98    0.543
   50 Punjabi Bagh               pm25   fold_3                           D+3      30.75    0.517
   50 Punjabi Bagh               pm25   holdout_120d                     D+2      21.24   -0.449
   50 Punjabi Bagh               pm25   holdout_120d                     D+3      21.14   -0.439
   50 Punjabi Bagh               pm10   fold_3                           D+2      73.59    0.230
   50 Punjabi Bagh               pm10   fold_3                           D+3      73.57    0.224
   50 Punjabi Bagh               pm10   holdout_120d                     D+2     116.85   -0.006
   50 Punjabi Bagh               pm10   holdout_120d                     D+3     117.81   -0.015
   50 Punjabi Bagh               no2    fold_3                           D+2      11.20   -0.453
   50 Punjabi Bagh               no2    fold_3                           D+3      12.46   -0.781
   50 Punjabi Bagh               no2    holdout_120d                     D+2       9.39   -2.337
   50 Punjabi Bagh               no2    holdout_120d                     D+3       8.77   -1.900
   50 Punjabi Bagh               o3     fold_3                           D+2      14.73   -0.412
   50 Punjabi Bagh               o3     fold_3                           D+3      14.88   -0.439
   50 Punjabi Bagh               o3     holdout_120d                     D+2      13.59   -0.095
   50 Punjabi Bagh               o3     holdout_120d                     D+3      14.14   -0.200
   50 Punjabi Bagh               so2    fold_3                           D+2      19.58    0.349
   50 Punjabi Bagh               so2    fold_3                           D+3      19.57    0.346
   50 Punjabi Bagh               so2    holdout_120d                     D+2      14.27   -5.147
   50 Punjabi Bagh               so2    holdout_120d                     D+3      14.43   -5.276
 5541 Burari Crossing            pm25   fold_1_stubble_oct_nov_2025      D+2      56.09    0.633
 5541 Burari Crossing            pm25   fold_1_stubble_oct_nov_2025      D+3      57.20    0.601
 5541 Burari Crossing            pm25   fold_2                           D+2      48.56    0.669
 5541 Burari Crossing            pm25   fold_2                           D+3      52.53    0.613
 5541 Burari Crossing            pm25   fold_3                           D+2      35.35    0.149
 5541 Burari Crossing            pm25   fold_3                           D+3      37.23    0.052
 5541 Burari Crossing            pm25   holdout_120d                     D+2      16.65   -0.225
 5541 Burari Crossing            pm25   holdout_120d                     D+3      18.00   -0.441
 5541 Burari Crossing            pm10   fold_1_stubble_oct_nov_2025      D+2      89.18    0.470
 5541 Burari Crossing            pm10   fold_1_stubble_oct_nov_2025      D+3      84.95    0.489
 5541 Burari Crossing            pm10   fold_2                           D+2      90.11    0.472
 5541 Burari Crossing            pm10   fold_2                           D+3      88.96    0.485
 5541 Burari Crossing            pm10   fold_3                           D+2      58.80    0.232
 5541 Burari Crossing            pm10   fold_3                           D+3      62.62    0.123
 5541 Burari Crossing            pm10   holdout_120d                     D+2     103.58   -0.103
 5541 Burari Crossing            pm10   holdout_120d                     D+3     104.36   -0.119
 5541 Burari Crossing            no2    fold_1_stubble_oct_nov_2025      D+2      14.39    0.749
 5541 Burari Crossing            no2    fold_1_stubble_oct_nov_2025      D+3      17.68    0.622
 5541 Burari Crossing            no2    fold_2                           D+2      18.39    0.662
 5541 Burari Crossing            no2    fold_2                           D+3      20.01    0.600
 5541 Burari Crossing            no2    fold_3                           D+2      17.40    0.692
 5541 Burari Crossing            no2    fold_3                           D+3      19.68    0.605
 5541 Burari Crossing            no2    holdout_120d                     D+2      10.00   -0.651
 5541 Burari Crossing            no2    holdout_120d                     D+3      10.23   -0.724
 5541 Burari Crossing            o3     fold_1_stubble_oct_nov_2025      D+2      21.21   -2.133
 5541 Burari Crossing            o3     fold_1_stubble_oct_nov_2025      D+3      21.70   -2.334
 5541 Burari Crossing            o3     fold_2                           D+2      20.96   -0.588
 5541 Burari Crossing            o3     fold_2                           D+3      21.01   -0.595
 5541 Burari Crossing            o3     fold_3                           D+2      59.74    0.150
 5541 Burari Crossing            o3     fold_3                           D+3      63.12    0.043
 5541 Burari Crossing            o3     holdout_120d                     D+2     123.64  -40.072
 5541 Burari Crossing            o3     holdout_120d                     D+3     125.37  -41.010
 5586 Siri Fort                  pm25   fold_1_stubble_oct_nov_2025      D+2      43.72    0.685
 5586 Siri Fort                  pm25   fold_1_stubble_oct_nov_2025      D+3      45.67    0.639
 5586 Siri Fort                  pm25   fold_2                           D+2      54.61    0.627
 5586 Siri Fort                  pm25   fold_2                           D+3      57.12    0.589
 5586 Siri Fort                  pm25   fold_3                           D+2      29.10    0.468
 5586 Siri Fort                  pm25   fold_3                           D+3      31.37    0.378
 5586 Siri Fort                  pm25   holdout_120d                     D+2      19.64   -1.895
 5586 Siri Fort                  pm25   holdout_120d                     D+3      19.72   -1.966
 5586 Siri Fort                  pm10   fold_1_stubble_oct_nov_2025      D+2      74.78    0.441
 5586 Siri Fort                  pm10   fold_1_stubble_oct_nov_2025      D+3      72.32    0.440
 5586 Siri Fort                  pm10   fold_2                           D+2      74.81    0.521
 5586 Siri Fort                  pm10   fold_2                           D+3      73.27    0.537
 5586 Siri Fort                  pm10   fold_3                           D+2      60.45    0.358
 5586 Siri Fort                  pm10   fold_3                           D+3      61.77    0.324
 5586 Siri Fort                  pm10   holdout_120d                     D+2      74.44   -0.519
 5586 Siri Fort                  pm10   holdout_120d                     D+3      75.58   -0.573
 5586 Siri Fort                  no2    fold_1_stubble_oct_nov_2025      D+2       7.54   -0.124
 5586 Siri Fort                  no2    fold_1_stubble_oct_nov_2025      D+3       8.13   -0.271
 5586 Siri Fort                  no2    fold_2                           D+2       8.98    0.210
 5586 Siri Fort                  no2    fold_2                           D+3       9.55    0.108
 5586 Siri Fort                  no2    fold_3                           D+2       4.92   -0.122
 5586 Siri Fort                  no2    fold_3                           D+3       5.43   -0.379
 5586 Siri Fort                  no2    holdout_120d                     D+2       7.11    0.368
 5586 Siri Fort                  no2    holdout_120d                     D+3       7.68    0.268
 5586 Siri Fort                  o3     fold_1_stubble_oct_nov_2025      D+2       3.88   -0.069
 5586 Siri Fort                  o3     fold_1_stubble_oct_nov_2025      D+3       3.96   -0.155
 5586 Siri Fort                  o3     fold_2                           D+2       6.64   -0.855
 5586 Siri Fort                  o3     fold_2                           D+3       7.05   -1.224
 5586 Siri Fort                  o3     fold_3                           D+2       4.96   -0.740
 5586 Siri Fort                  o3     fold_3                           D+3       5.01   -0.785
 5586 Siri Fort                  o3     holdout_120d                     D+2       7.37   -0.762
 5586 Siri Fort                  o3     holdout_120d                     D+3       7.58   -0.845
 5586 Siri Fort                  so2    fold_1_stubble_oct_nov_2025      D+2   100322821691689.33   -0.003
 5586 Siri Fort                  so2    fold_1_stubble_oct_nov_2025      D+3   100322821691689.31   -0.003
 5586 Siri Fort                  so2    fold_2                           D+2   151138257078446.09   -0.030
 5586 Siri Fort                  so2    fold_2                           D+3   152132671390436.06   -0.035
 5586 Siri Fort                  so2    fold_3                           D+2   26282971657410.08   -0.025
 5586 Siri Fort                  so2    fold_3                           D+3   26171366178058.99   -0.025
 5586 Siri Fort                  so2    holdout_120d                     D+2   4301954817380.96 -795589123317954695397376.000
 5586 Siri Fort                  so2    holdout_120d                     D+3   3527639131352.13 -531579766097169491165184.000
 5598 Noida Sector 125           pm25   fold_1_stubble_oct_nov_2025      D+2      95.51    0.308
 5598 Noida Sector 125           pm25   fold_1_stubble_oct_nov_2025      D+3      94.34    0.301
 5598 Noida Sector 125           pm25   fold_2                           D+2     100.64    0.370
 5598 Noida Sector 125           pm25   fold_2                           D+3     100.16    0.373
 5598 Noida Sector 125           pm25   fold_3                           D+2      42.28    0.403
 5598 Noida Sector 125           pm25   fold_3                           D+3      42.14    0.405
 5598 Noida Sector 125           pm25   holdout_120d                     D+2      28.55   -1.646
 5598 Noida Sector 125           pm25   holdout_120d                     D+3      27.99   -1.536
 5598 Noida Sector 125           pm10   fold_1_stubble_oct_nov_2025      D+2     251.73   -0.027
 5598 Noida Sector 125           pm10   fold_1_stubble_oct_nov_2025      D+3     253.70   -0.055
 5598 Noida Sector 125           pm10   fold_2                           D+2     221.50    0.109
 5598 Noida Sector 125           pm10   fold_2                           D+3     223.25    0.096
 5598 Noida Sector 125           pm10   fold_3                           D+2      86.36   -0.016
 5598 Noida Sector 125           pm10   fold_3                           D+3      85.34   -0.001
 5598 Noida Sector 125           pm10   holdout_120d                     D+2      80.62   -0.046
 5598 Noida Sector 125           pm10   holdout_120d                     D+3      82.14   -0.081
 5598 Noida Sector 125           no2    fold_1_stubble_oct_nov_2025      D+2      29.54    0.208
 5598 Noida Sector 125           no2    fold_1_stubble_oct_nov_2025      D+3      33.13   -0.025
 5598 Noida Sector 125           no2    fold_2                           D+2      24.43    0.381
 5598 Noida Sector 125           no2    fold_2                           D+3      27.06    0.241
 5598 Noida Sector 125           no2    fold_3                           D+2      16.91    0.105
 5598 Noida Sector 125           no2    fold_3                           D+3      18.62   -0.095
 5598 Noida Sector 125           no2    holdout_120d                     D+2      14.57    0.010
 5598 Noida Sector 125           no2    holdout_120d                     D+3      15.98   -0.213
 5598 Noida Sector 125           o3     fold_1_stubble_oct_nov_2025      D+2      17.56    0.127
 5598 Noida Sector 125           o3     fold_1_stubble_oct_nov_2025      D+3      18.40    0.067
 5598 Noida Sector 125           o3     fold_2                           D+2      15.11    0.070
 5598 Noida Sector 125           o3     fold_2                           D+3      15.84   -0.017
 5598 Noida Sector 125           o3     fold_3                           D+2      16.41    0.544
 5598 Noida Sector 125           o3     fold_3                           D+3      17.50    0.480
 5598 Noida Sector 125           o3     holdout_120d                     D+2      11.80    0.412
 5598 Noida Sector 125           o3     holdout_120d                     D+3      11.86    0.395
 5598 Noida Sector 125           so2    fold_1_stubble_oct_nov_2025      D+2       5.07   -0.527
 5598 Noida Sector 125           so2    fold_1_stubble_oct_nov_2025      D+3       5.11   -0.548
 5598 Noida Sector 125           so2    fold_2                           D+2       4.55   -0.301
 5598 Noida Sector 125           so2    fold_2                           D+3       4.74   -0.405
 5598 Noida Sector 125           so2    fold_3                           D+2       4.83   -0.575
 5598 Noida Sector 125           so2    fold_3                           D+3       5.00   -0.701
 5598 Noida Sector 125           so2    holdout_120d                     D+2       2.99   -0.198
 5598 Noida Sector 125           so2    holdout_120d                     D+3       3.12   -0.304
 5610 Shadipur                   pm25   fold_3                           D+2      30.56    0.315
 5610 Shadipur                   pm25   fold_3                           D+3      31.49    0.269
 5610 Shadipur                   pm25   holdout_120d                     D+2      14.76    0.073
 5610 Shadipur                   pm25   holdout_120d                     D+3      15.65   -0.047
 5610 Shadipur                   pm10   fold_3                           D+2      66.84    0.148
 5610 Shadipur                   pm10   fold_3                           D+3      67.86    0.114
 5610 Shadipur                   pm10   holdout_120d                     D+2     108.24   -0.030
 5610 Shadipur                   pm10   holdout_120d                     D+3     107.98   -0.019
 5610 Shadipur                   no2    fold_3                           D+2      21.30    0.185
 5610 Shadipur                   no2    fold_3                           D+3      22.48    0.094
 5610 Shadipur                   no2    holdout_120d                     D+2      36.30   -0.083
 5610 Shadipur                   no2    holdout_120d                     D+3      37.60   -0.170
 5610 Shadipur                   o3     fold_3                           D+2      26.70   -0.142
 5610 Shadipur                   o3     fold_3                           D+3      25.69   -0.063
 5610 Shadipur                   o3     holdout_120d                     D+2      16.34   -0.049
 5610 Shadipur                   o3     holdout_120d                     D+3      16.04   -0.019
 5613 ITO                        pm25   fold_1_stubble_oct_nov_2025      D+2      69.64    0.475
 5613 ITO                        pm25   fold_1_stubble_oct_nov_2025      D+3      68.61    0.473
 5613 ITO                        pm25   fold_2                           D+2      68.02    0.519
 5613 ITO                        pm25   fold_2                           D+3      68.58    0.509
 5613 ITO                        pm25   fold_3                           D+2      40.13    0.167
 5613 ITO                        pm25   fold_3                           D+3      41.45    0.107
 5613 ITO                        pm25   holdout_120d                     D+2      16.23   -0.516
 5613 ITO                        pm25   holdout_120d                     D+3      16.23   -0.513
 5613 ITO                        pm10   fold_1_stubble_oct_nov_2025      D+2      86.88    0.505
 5613 ITO                        pm10   fold_1_stubble_oct_nov_2025      D+3      85.14    0.507
 5613 ITO                        pm10   fold_2                           D+2      88.41    0.502
 5613 ITO                        pm10   fold_2                           D+3      88.09    0.504
 5613 ITO                        pm10   fold_3                           D+2      55.49    0.203
 5613 ITO                        pm10   fold_3                           D+3      57.22    0.145
 5613 ITO                        pm10   holdout_120d                     D+2      50.09   -0.481
 5613 ITO                        pm10   holdout_120d                     D+3      50.45   -0.491
 5613 ITO                        no2    fold_1_stubble_oct_nov_2025      D+2      24.46   -0.016
 5613 ITO                        no2    fold_1_stubble_oct_nov_2025      D+3      24.06    0.032
 5613 ITO                        no2    fold_2                           D+2      26.21   -0.218
 5613 ITO                        no2    fold_2                           D+3      28.24   -0.404
 5613 ITO                        no2    fold_3                           D+2       9.97   -0.756
 5613 ITO                        no2    fold_3                           D+3       9.15   -0.476
 5613 ITO                        no2    holdout_120d                     D+2       7.98   -0.600
 5613 ITO                        no2    holdout_120d                     D+3       8.28   -0.769
 5613 ITO                        o3     fold_1_stubble_oct_nov_2025      D+2      14.94   -0.862
 5613 ITO                        o3     fold_1_stubble_oct_nov_2025      D+3      15.01   -0.884
 5613 ITO                        o3     fold_2                           D+2      18.88   -0.151
 5613 ITO                        o3     fold_2                           D+3      19.00   -0.163
 5613 ITO                        o3     fold_3                           D+2      12.61    0.359
 5613 ITO                        o3     fold_3                           D+3      13.07    0.308
 5613 ITO                        o3     holdout_120d                     D+2      14.76   -0.804
 5613 ITO                        o3     holdout_120d                     D+3      14.54   -0.762
 5613 ITO                        so2    fold_1_stubble_oct_nov_2025      D+2       3.99   -0.070
 5613 ITO                        so2    fold_1_stubble_oct_nov_2025      D+3       4.12   -0.173
 5613 ITO                        so2    fold_2                           D+2       5.34   -0.105
 5613 ITO                        so2    fold_2                           D+3       5.84   -0.308
 5613 ITO                        so2    fold_3                           D+2       4.38    0.483
 5613 ITO                        so2    fold_3                           D+3       4.88    0.357
 5613 ITO                        so2    holdout_120d                     D+2       7.99   -0.403
 5613 ITO                        so2    holdout_120d                     D+3       8.23   -0.486
 5616 Noida Sector 62            pm25   fold_1_stubble_oct_nov_2025      D+2      40.48    0.602
 5616 Noida Sector 62            pm25   fold_1_stubble_oct_nov_2025      D+3      42.81    0.533
 5616 Noida Sector 62            pm25   fold_2                           D+2      44.93    0.579
 5616 Noida Sector 62            pm25   fold_2                           D+3      46.34    0.550
 5616 Noida Sector 62            pm25   fold_3                           D+2      28.93    0.277
 5616 Noida Sector 62            pm25   fold_3                           D+3      28.70    0.283
 5616 Noida Sector 62            pm25   holdout_120d                     D+2      15.79    0.131
 5616 Noida Sector 62            pm25   holdout_120d                     D+3      16.07    0.091
 5616 Noida Sector 62            pm10   fold_1_stubble_oct_nov_2025      D+2      68.10    0.556
 5616 Noida Sector 62            pm10   fold_1_stubble_oct_nov_2025      D+3      65.01    0.568
 5616 Noida Sector 62            pm10   fold_2                           D+2      71.86    0.539
 5616 Noida Sector 62            pm10   fold_2                           D+3      72.30    0.531
 5616 Noida Sector 62            pm10   fold_3                           D+2      69.04   -0.114
 5616 Noida Sector 62            pm10   fold_3                           D+3      68.67   -0.110
 5616 Noida Sector 62            pm10   holdout_120d                     D+2      62.57    0.151
 5616 Noida Sector 62            pm10   holdout_120d                     D+3      64.30    0.102
 5616 Noida Sector 62            no2    fold_1_stubble_oct_nov_2025      D+2       9.46    0.513
 5616 Noida Sector 62            no2    fold_1_stubble_oct_nov_2025      D+3       9.70    0.482
 5616 Noida Sector 62            no2    fold_2                           D+2      25.79    0.142
 5616 Noida Sector 62            no2    fold_2                           D+3      26.38    0.109
 5616 Noida Sector 62            no2    fold_3                           D+2       4.98   -0.044
 5616 Noida Sector 62            no2    fold_3                           D+3       5.38   -0.230
 5616 Noida Sector 62            no2    holdout_120d                     D+2      12.39   -0.140
 5616 Noida Sector 62            no2    holdout_120d                     D+3      13.54   -0.360
 5616 Noida Sector 62            o3     fold_1_stubble_oct_nov_2025      D+2      25.71   -0.153
 5616 Noida Sector 62            o3     fold_1_stubble_oct_nov_2025      D+3      25.31   -0.118
 5616 Noida Sector 62            o3     fold_2                           D+2      34.58   -0.049
 5616 Noida Sector 62            o3     fold_2                           D+3      21.72   -0.055
 5616 Noida Sector 62            o3     fold_3                           D+2      18.54    0.559
 5616 Noida Sector 62            o3     fold_3                           D+3      19.60    0.510
 5616 Noida Sector 62            o3     holdout_120d                     D+2      51.86   -3.546
 5616 Noida Sector 62            o3     holdout_120d                     D+3      51.97   -3.655
 5626 DTU                        pm25   fold_1_stubble_oct_nov_2025      D+2      52.29    0.698
 5626 DTU                        pm25   fold_1_stubble_oct_nov_2025      D+3      50.93    0.708
 5626 DTU                        pm25   fold_2                           D+2      67.31    0.606
 5626 DTU                        pm25   fold_2                           D+3      70.69    0.564
 5626 DTU                        pm25   fold_3                           D+2      50.02   -0.496
 5626 DTU                        pm25   fold_3                           D+3      53.10   -0.700
 5626 DTU                        pm25   holdout_120d                     D+2      24.97   -0.977
 5626 DTU                        pm25   holdout_120d                     D+3      26.08   -1.185
 5626 DTU                        pm10   fold_1_stubble_oct_nov_2025      D+2      74.88    0.523
 5626 DTU                        pm10   fold_1_stubble_oct_nov_2025      D+3      67.44    0.591
 5626 DTU                        pm10   fold_2                           D+2      77.83    0.506
 5626 DTU                        pm10   fold_2                           D+3      77.33    0.511
 5626 DTU                        pm10   fold_3                           D+2      72.36   -0.287
 5626 DTU                        pm10   fold_3                           D+3      68.91   -0.176
 5626 DTU                        pm10   holdout_120d                     D+2      52.05    0.139
 5626 DTU                        pm10   holdout_120d                     D+3      52.91    0.109
 5626 DTU                        no2    fold_1_stubble_oct_nov_2025      D+2       9.06   -0.225
 5626 DTU                        no2    fold_1_stubble_oct_nov_2025      D+3       9.21   -0.266
 5626 DTU                        no2    fold_2                           D+2      11.02   -0.354
 5626 DTU                        no2    fold_2                           D+3      11.34   -0.443
 5626 DTU                        no2    fold_3                           D+2       8.23   -0.297
 5626 DTU                        no2    fold_3                           D+3       8.10   -0.269
 5626 DTU                        no2    holdout_120d                     D+2      11.00   -1.887
 5626 DTU                        no2    holdout_120d                     D+3      11.44   -2.262
 5626 DTU                        o3     fold_1_stubble_oct_nov_2025      D+2      11.35   -0.630
 5626 DTU                        o3     fold_1_stubble_oct_nov_2025      D+3      11.60   -0.703
 5626 DTU                        o3     fold_2                           D+2      16.48   -4.333
 5626 DTU                        o3     fold_2                           D+3      16.53   -4.317
 5626 DTU                        o3     fold_3                           D+2       6.55    0.055
 5626 DTU                        o3     fold_3                           D+3       7.63   -0.288
 5626 DTU                        o3     holdout_120d                     D+2       7.70   -0.187
 5626 DTU                        o3     holdout_120d                     D+3       8.22   -0.348
 5626 DTU                        so2    fold_1_stubble_oct_nov_2025      D+2   144008264395558.38    0.003
 5626 DTU                        so2    fold_1_stubble_oct_nov_2025      D+3   143779529556859.50    0.006
 5626 DTU                        so2    fold_2                           D+2   110454614111602.67    0.011
 5626 DTU                        so2    fold_2                           D+3   110782008298587.80    0.013
 5626 DTU                        so2    fold_3                           D+2   71655760860473.31    0.054
 5626 DTU                        so2    fold_3                           D+3   71351488739217.73    0.054
 5626 DTU                        so2    holdout_120d                     D+2   4277880681148.61 -1507855344974585229475840.000
 5626 DTU                        so2    holdout_120d                     D+3   3508433489806.39 -1007022497018445016596480.000
 5627 CRRI Mathura Road          pm25   fold_1_stubble_oct_nov_2025      D+2      75.84    0.357
 5627 CRRI Mathura Road          pm25   fold_1_stubble_oct_nov_2025      D+3      73.84    0.365
 5627 CRRI Mathura Road          pm25   fold_2                           D+2      64.86    0.470
 5627 CRRI Mathura Road          pm25   fold_2                           D+3      63.38    0.492
 5627 CRRI Mathura Road          pm25   fold_3                           D+2      36.83   -0.339
 5627 CRRI Mathura Road          pm25   fold_3                           D+3      37.33   -0.387
 5627 CRRI Mathura Road          pm25   holdout_120d                     D+2   36407987009.04 -5727834485500726272.000
 5627 CRRI Mathura Road          pm25   holdout_120d                     D+3   29863047950.80 -4085415013852985344.000
 5627 CRRI Mathura Road          pm10   fold_1_stubble_oct_nov_2025      D+2   143887728908.26    0.042
 5627 CRRI Mathura Road          pm10   fold_1_stubble_oct_nov_2025      D+3   143887728907.14    0.042
 5627 CRRI Mathura Road          pm10   fold_2                           D+2   336746597116.61    0.049
 5627 CRRI Mathura Road          pm10   fold_2                           D+3   338233344288.87    0.049
 5627 CRRI Mathura Road          pm10   fold_3                           D+2   107436723848.45   -0.017
 5627 CRRI Mathura Road          pm10   fold_3                           D+3   106980514892.23   -0.017
 5627 CRRI Mathura Road          pm10   holdout_120d                     D+2      69.66    0.147
 5627 CRRI Mathura Road          pm10   holdout_120d                     D+3      68.40    0.102
 5627 CRRI Mathura Road          no2    fold_1_stubble_oct_nov_2025      D+2      14.68   -0.083
 5627 CRRI Mathura Road          no2    fold_1_stubble_oct_nov_2025      D+3      13.38    0.081
 5627 CRRI Mathura Road          no2    fold_2                           D+2      13.58   -0.197
 5627 CRRI Mathura Road          no2    fold_2                           D+3      13.01   -0.090
 5627 CRRI Mathura Road          no2    fold_3                           D+2      14.70    0.415
 5627 CRRI Mathura Road          no2    fold_3                           D+3      15.49    0.355
 5627 CRRI Mathura Road          no2    holdout_120d                     D+2      14.54   -0.218
 5627 CRRI Mathura Road          no2    holdout_120d                     D+3      14.27   -0.170
 5627 CRRI Mathura Road          o3     fold_1_stubble_oct_nov_2025      D+2      15.11    0.121
 5627 CRRI Mathura Road          o3     fold_1_stubble_oct_nov_2025      D+3      14.38    0.222
 5627 CRRI Mathura Road          o3     fold_2                           D+2      15.24    0.236
 5627 CRRI Mathura Road          o3     fold_2                           D+3      14.85    0.282
 5627 CRRI Mathura Road          o3     fold_3                           D+2      13.78    0.315
 5627 CRRI Mathura Road          o3     fold_3                           D+3      13.08    0.378
 5627 CRRI Mathura Road          o3     holdout_120d                     D+2      12.21    0.088
 5627 CRRI Mathura Road          o3     holdout_120d                     D+3      11.96    0.129
 5634 Lodhi Road                 pm25   fold_3                           D+2      21.92    0.052
 5634 Lodhi Road                 pm25   fold_3                           D+3      22.48   -0.005
 5634 Lodhi Road                 pm25   holdout_120d                     D+2      13.38   -0.300
 5634 Lodhi Road                 pm25   holdout_120d                     D+3      14.07   -0.471
 5634 Lodhi Road                 pm10   fold_3                           D+2      55.78    0.154
 5634 Lodhi Road                 pm10   fold_3                           D+3      57.52    0.094
 5634 Lodhi Road                 pm10   holdout_120d                     D+2      76.23    0.049
 5634 Lodhi Road                 pm10   holdout_120d                     D+3      76.50    0.044
 5634 Lodhi Road                 no2    fold_3                           D+2       6.62    0.475
 5634 Lodhi Road                 no2    fold_3                           D+3       7.10    0.393
 5634 Lodhi Road                 no2    holdout_120d                     D+2       5.81   -0.535
 5634 Lodhi Road                 no2    holdout_120d                     D+3       6.13   -0.706
 5634 Lodhi Road                 o3     fold_3                           D+2      20.66   -0.383
 5634 Lodhi Road                 o3     fold_3                           D+3      18.99   -0.177
 5634 Lodhi Road                 o3     holdout_120d                     D+2      37.59   -0.132
 5634 Lodhi Road                 o3     holdout_120d                     D+3      37.55   -0.120
 5650 IGI Airport (T3)           pm25   fold_1_stubble_oct_nov_2025      D+2      65.97    0.078
 5650 IGI Airport (T3)           pm25   fold_1_stubble_oct_nov_2025      D+3      65.78    0.051
 5650 IGI Airport (T3)           pm25   fold_2                           D+2      57.20    0.212
 5650 IGI Airport (T3)           pm25   fold_2                           D+3      56.61    0.223
 5650 IGI Airport (T3)           pm25   fold_3                           D+2      24.21    0.186
 5650 IGI Airport (T3)           pm25   fold_3                           D+3      25.14    0.116
 5650 IGI Airport (T3)           pm25   holdout_120d                     D+2      31.94   -3.280
 5650 IGI Airport (T3)           pm25   holdout_120d                     D+3      31.70   -3.489
 5650 IGI Airport (T3)           pm10   fold_1_stubble_oct_nov_2025      D+2     109.70    0.121
 5650 IGI Airport (T3)           pm10   fold_1_stubble_oct_nov_2025      D+3     109.11    0.083
 5650 IGI Airport (T3)           pm10   fold_2                           D+2      99.21    0.266
 5650 IGI Airport (T3)           pm10   fold_2                           D+3      97.20    0.291
 5650 IGI Airport (T3)           pm10   fold_3                           D+2      61.06    0.145
 5650 IGI Airport (T3)           pm10   fold_3                           D+3      63.26    0.076
 5650 IGI Airport (T3)           pm10   holdout_120d                     D+2      56.38    0.066
 5650 IGI Airport (T3)           pm10   holdout_120d                     D+3      56.20    0.059
 5650 IGI Airport (T3)           no2    fold_1_stubble_oct_nov_2025      D+2      33.89    0.397
 5650 IGI Airport (T3)           no2    fold_1_stubble_oct_nov_2025      D+3      36.17    0.301
 5650 IGI Airport (T3)           no2    fold_2                           D+2      29.44    0.585
 5650 IGI Airport (T3)           no2    fold_2                           D+3      31.43    0.528
 5650 IGI Airport (T3)           no2    fold_3                           D+2      17.80    0.150
 5650 IGI Airport (T3)           no2    fold_3                           D+3      16.85    0.235
 5650 IGI Airport (T3)           no2    holdout_120d                     D+2      23.15   -0.066
 5650 IGI Airport (T3)           no2    holdout_120d                     D+3      24.54   -0.187
 5650 IGI Airport (T3)           o3     fold_1_stubble_oct_nov_2025      D+2      11.76    0.211
 5650 IGI Airport (T3)           o3     fold_1_stubble_oct_nov_2025      D+3      13.86   -0.087
 5650 IGI Airport (T3)           o3     fold_2                           D+2       9.15    0.409
 5650 IGI Airport (T3)           o3     fold_2                           D+3      10.80    0.178
 5650 IGI Airport (T3)           o3     fold_3                           D+2      11.85    0.333
 5650 IGI Airport (T3)           o3     fold_3                           D+3      11.14    0.408
 5650 IGI Airport (T3)           o3     holdout_120d                     D+2      21.20   -0.469
 5650 IGI Airport (T3)           o3     holdout_120d                     D+3      22.14   -0.594
 5665 Ghaziabad (Vasundhara)     pm25   fold_1_stubble_oct_nov_2025      D+2      70.12    0.369
